iter	RMSE
313	0.2419056907
314	0.2416235773
315	0.2412210906
316	0.2410439696
317	0.2407807163
318	0.2405109472
319	0.240239565
320	0.2400159475
321	0.2396881976
322	0.2395095684
323	0.2393589977
324	0.2391119289
325	0.2388824433
326	0.2386198872
327	0.2384187231
328	0.2381704776
329	0.2380170634
330	0.2377194186
331	0.2375406432
332	0.2373392005
333	0.2372221822
334	0.2369725131
335	0.2368098943
336	0.2366386162
337	0.2363893007
338	0.2360778709
339	0.2359403904
340	0.2357275396
341	0.2354885171
342	0.2352180884
343	0.2349897912
344	0.2347871446
345	0.2345331684
346	0.2343223943
347	0.2341023747
348	0.233892174
349	0.2337134065
350	0.2334684251
351	0.2333242064
352	0.2330592393
353	0.2328490203
354	0.2325119987
355	0.2322827468
356	0.232095333
357	0.2318416355
358	0.2315158175
359	0.2312745517
360	0.2311413062
361	0.2309406668
362	0.2307427932
363	0.2306023194
364	0.2303062472
365	0.2301377729
366	0.2299476688
367	0.2296951996
368	0.2295045163
369	0.2292893972
370	0.2290799963
371	0.2288540167
372	0.2286033755
373	0.228297645
374	0.2281125467
375	0.2279269484
376	0.2276559898
377	0.2274081994
378	0.2272179171
379	0.2269174763
380	0.2267479931
381	0.2265640015
382	0.2264315917
383	0.2262085706
384	0.2260652748
385	0.2257878414
386	0.2255151149
387	0.2253468098
388	0.2252348757
389	0.2250215298
390	0.2248632813
391	0.2247181786
392	0.2245667722
393	0.2244429329
394	0.2242924595
395	0.2241485272
396	0.2239197308
397	0.2236650204
398	0.2234693884
399	0.2232231764
400	0.2230342274
401	0.222877099
402	0.2226126567
403	0.2223988181
404	0.22215116
405	0.2219969354
406	0.2218517247
407	0.2216411434
408	0.2214354505
409	0.2212560026
410	0.2210789473
411	0.2208806244
412	0.2207630485
413	0.2206190723
414	0.220443557
415	0.2202086566
416	0.2200251487
417	0.2198893641
418	0.2196822528
419	0.2195329512
420	0.2193463628
421	0.2191487558
422	0.2189950049
423	0.2187529995
424	0.2185430083
425	0.2183311457
426	0.2180952425
427	0.2179361111
428	0.2177185952
429	0.2176293671
430	0.2174969711
431	0.2173242252
432	0.2171065663
433	0.2169257367
434	0.2167483965
435	0.2166351458
436	0.216502269
437	0.2163247634
438	0.2161688146
439	0.2159219444
440	0.2157656946
441	0.215549758
442	0.2153750152
443	0.2151899194
444	0.215027464
445	0.2147908781
446	0.214574388
447	0.2143376518
448	0.214148876
449	0.2140390157
450	0.2138134262
451	0.2136170022
452	0.2134681722
453	0.2133001241
454	0.2131870432
455	0.213079245
456	0.2129094823
457	0.2127765691
458	0.21264059
459	0.2124554529
460	0.2123122708
461	0.2121414625
462	0.2119817176
463	0.2118303105
464	0.2115685094
465	0.211391466
466	0.2112915583
467	0.2110802078
468	0.2109447531
469	0.2107759344
470	0.2105969113
471	0.2104274834
472	0.2103460272
473	0.2101349468
474	0.2099607721
475	0.2097820949
476	0.2096033087
477	0.2094638016
478	0.2093164021
479	0.2091658428
480	0.2090883863
481	0.2089294511
482	0.2087289059
483	0.2085755586
484	0.2084175792
485	0.2082546698
486	0.2081825457
487	0.2079918055
488	0.207820952
489	0.2076406376
490	0.2074834045
491	0.2073797406
492	0.2072946489
493	0.2071330471
494	0.2069195068
495	0.2067710312
496	0.2066647444
497	0.2065370526
498	0.2063206771
499	0.2061586385
500	0.2060385784
501	0.2059235537
502	0.2057592254
503	0.2056031677
504	0.2054262378
505	0.2052827318
506	0.2051811364
507	0.2049778295
508	0.204897845
509	0.2047789019
510	0.2046209328
511	0.2044178377
512	0.2042840232
513	0.2041225909
514	0.2040195322
515	0.2038629913
516	0.2037202579
517	0.2036592907
518	0.2036006217
519	0.2034899833
520	0.2033312151
521	0.2031768127
522	0.2030906983
523	0.2030189384
524	0.2028568698
525	0.2026798905
526	0.2026335838
527	0.2024921264
528	0.2023041889
529	0.2021701094
530	0.2020275557
531	0.2019716185
532	0.2018934509
533	0.2017655632
534	0.2016899063
535	0.2015674543
536	0.2013525767
537	0.2012277913
538	0.201136327
539	0.2009935085
540	0.2008898068
541	0.2007758411
542	0.2006697083
543	0.2005352172
544	0.2003771955
545	0.2003165268
546	0.2001497379
547	0.1999736589
548	0.1998170689
549	0.199677803
550	0.1995461109
551	0.1993669639
552	0.1992246554
553	0.199027821
554	0.1989047403
555	0.1987709752
556	0.1986912284
557	0.1985526925
558	0.1984091741
559	0.1983259429
560	0.1981973522
561	0.1981084646
562	0.1980543713
563	0.197965832
564	0.1978288508
565	0.1976771214
566	0.1975642305
567	0.1973932173
568	0.197213763
569	0.1970829987
570	0.1969267944
571	0.1968050512
572	0.1967162119
573	0.1965920156
574	0.196379018
575	0.1961810906
576	0.196101663
577	0.1960220897
578	0.1959570027
579	0.1958263516
580	0.1957521605
581	0.1955967306
582	0.1953869809
583	0.1952758187
584	0.1951344279
585	0.1949782069
586	0.194911957
587	0.1947314882
588	0.1946539202
589	0.1945678151
590	0.1943979918
591	0.1942855605
592	0.1942263452
593	0.1941060448
594	0.1939638209
595	0.1938605919
596	0.1936974957
597	0.1936473448
598	0.193510802
599	0.1933990144
600	0.1932168906
601	0.1930650543
602	0.1929892912
603	0.1928391542
604	0.1927228006
605	0.1925695259
606	0.1924146262
607	0.1922739616
608	0.1921474372
609	0.1920406584
610	0.1919037662
611	0.1918041406
612	0.1916945175
613	0.1915356591
614	0.1914263405
615	0.1913256939
616	0.191182924
617	0.1910395586
618	0.1908563992
619	0.190736018
620	0.1905737845
621	0.1904157848
622	0.1903177118
623	0.1901792639
624	0.1900898133
625	0.1899394257
626	0.1897792449
627	0.1896376737
628	0.1894932001
629	0.1894053991
630	0.189359645
631	0.1892322936
632	0.1891416697
633	0.1890413196
634	0.1888680115
635	0.1887604901
636	0.18864825
637	0.188499575
638	0.1884244506
639	0.1883468531
640	0.1882110783
641	0.1881333742
642	0.1879963774
643	0.1878927785
644	0.1878109749
645	0.1876976895
646	0.1875976158
647	0.1874619192
648	0.1873103778
649	0.1871754957
650	0.1870727812
651	0.1869395614
652	0.186835417
653	0.1867196699
654	0.1865033845
655	0.1863816139
656	0.1862500735
657	0.1861256969
658	0.1859912021
659	0.1858327561
660	0.1857014917
661	0.1856384144
662	0.185518229
663	0.1853982431
664	0.1852855621
665	0.1851583243
666	0.1851045281
667	0.1849312736
668	0.1848022045
669	0.1846003673
670	0.1845088295
671	0.1844271552
672	0.1843208906
673	0.1841935784
674	0.1841019546
675	0.1839645808
676	0.1838838246
677	0.1837906822
678	0.1836156458
679	0.1835189482
680	0.1834143328
681	0.1832799016
682	0.1831828047
683	0.1830494985
684	0.1829168843
685	0.1827968903
686	0.1826620062
687	0.1825671297
688	0.1823782022
689	0.1822582504
690	0.1821146959
691	0.1820126751
692	0.1818716885
693	0.1817527119
694	0.1816885107
695	0.1815256378
696	0.1814288029
697	0.1813745616
698	0.1812897162
699	0.1812403494
700	0.1811271942
701	0.1810722349
702	0.1809967728
703	0.1809223289
704	0.180876967
705	0.1807582536
706	0.1806877111
707	0.1806131756
708	0.1805767656
709	0.1804814271
710	0.1803509513
711	0.1802119476
712	0.1800955954
713	0.1800180656
714	0.1799141665
715	0.1797690014
716	0.1796975645
717	0.1795102499
718	0.1793864069
719	0.1792545387
720	0.1791649146
721	0.1790786665
722	0.1789544769
723	0.1788875408
724	0.1787785714
725	0.178701173
726	0.1786409182
727	0.1785295807
728	0.178408325
729	0.1783198083
730	0.1782199336
731	0.1781208417
732	0.1779965801
733	0.1779107535
734	0.1777994836
735	0.1777451431
736	0.177616128
737	0.1775516599
738	0.1774256174
739	0.1773195882
740	0.1772051707
741	0.1770879567
742	0.1769558224
743	0.1768483416
744	0.1767388961
745	0.1766221766
746	0.1765206167
747	0.1763489005
748	0.1762489652
749	0.1761278056
750	0.1760720794
751	0.1759407152
752	0.1758329115
753	0.1757976694
754	0.1756795371
755	0.1755673008
756	0.175414008
757	0.1753802847
758	0.1752807351
759	0.1752295901
760	0.1751238111
761	0.1750201415
762	0.1748746746
763	0.1747785043
764	0.1746920268
765	0.1745583536
766	0.174515023
767	0.1743760659
768	0.1742711165
769	0.17413155
770	0.1740314983
771	0.173939714
772	0.1738298845
773	0.1737076854
774	0.1736550804
775	0.173527499
776	0.1734294565
777	0.1733172527
778	0.1731746291
779	0.1730889897
780	0.1729493366
781	0.1728269747
782	0.172747931
783	0.1726458317
784	0.172510837
785	0.1724043357
786	0.1723222085
787	0.1722031767
788	0.1720395133
789	0.1719525409
790	0.1718501493
791	0.1717581445
792	0.1716474738
793	0.1716124886
794	0.1715391786
795	0.1714165768
796	0.1713299406
797	0.1711657349
798	0.1710668442
799	0.1709983167
800	0.1709168359
801	0.1708537189
802	0.1707274479
803	0.1705997992
804	0.1704661881
805	0.1703524365
806	0.1702920132
807	0.1701939182
808	0.1700737293
809	0.1699879578
810	0.1699379798
811	0.169869108
812	0.1697584148
813	0.1696905365
814	0.1696039409
815	0.169472763
816	0.16935202
817	0.1692312336
818	0.16920048
819	0.1691092992
820	0.169026704
821	0.1688588973
822	0.1687505425
823	0.1686673334
824	0.1685824531
825	0.1685058931
826	0.1684146962
827	0.1683288904
828	0.1682001742
829	0.1681344814
830	0.1680458809
831	0.1679450856
832	0.1678525154
833	0.1677509417
834	0.1676420371
835	0.1675246113
836	0.1674868581
837	0.1673860725
838	0.1673712772
839	0.1672564085
840	0.1672001464
841	0.1671163275
842	0.1670338885
843	0.1669458225
844	0.1668692918
845	0.1667890404
846	0.1666940451
847	0.1665938543
848	0.1665037647
849	0.1663669892
850	0.1662891163
851	0.1661996778
852	0.1661058553
853	0.1660753285
854	0.1660087119
855	0.1659186091
856	0.165811954
857	0.165706455
858	0.1656564476
859	0.1655130638
860	0.1653790119
861	0.1653055416
862	0.1651973569
863	0.1651127284
864	0.1650031971
865	0.1649070478
866	0.1648101926
867	0.1647701825
868	0.1647033495
869	0.1646340978
870	0.1645724376
871	0.1644139608
872	0.1643377546
873	0.1642842361
874	0.1641751386
875	0.1641046583
876	0.1640068323
877	0.16392233
878	0.1638154865
879	0.1637677451
880	0.1636527303
881	0.1635739342
882	0.1634720759
883	0.163375961
884	0.1633454692
885	0.1632755733
886	0.1631892167
887	0.163052005
888	0.1629828925
889	0.1629335947
890	0.1628916481
891	0.1628381068
892	0.16273733
893	0.1626735891
894	0.1626125984
895	0.1625236553
896	0.1624731145
897	0.1623709791
898	0.1623171074
899	0.1622140671
900	0.1621334909
901	0.1620096158
902	0.1619246338
903	0.1618302506
904	0.1617486775
905	0.1617122167
906	0.1615403492
907	0.1614684172
908	0.161446088
909	0.1613759673
910	0.1613382787
911	0.1612474861
912	0.1611858
913	0.1611050366
914	0.1610838203
915	0.1609568975
916	0.1608624242
917	0.1607777335
918	0.1606693486
919	0.160547219
920	0.1604632056
921	0.1603843745
922	0.1602787808
923	0.1601888521
924	0.1601153682
925	0.1600277256
926	0.1599478255
927	0.1598444058
928	0.1597658719
929	0.1596663954
930	0.1595147683
931	0.1594824369
932	0.1593791026
933	0.1592522633
934	0.1592070238
935	0.1591085201
936	0.1590077661
937	0.1589155695
938	0.1588620087
939	0.1587669558
940	0.1587212293
941	0.1586205063
942	0.1584823764
943	0.1584046337
944	0.158337235
945	0.1582774435
946	0.1582505695
947	0.1582148067
948	0.1581434092
949	0.1580765612
950	0.1580075645
951	0.1578801709
952	0.1577985471
953	0.1577260522
954	0.1576699375
955	0.1576180721
956	0.1575687019
957	0.1574813056
958	0.157392722
959	0.1573179517
960	0.1572228986
961	0.1571311593
962	0.1571032188
963	0.1570665931
964	0.1569636225
965	0.1569262447
966	0.1568484727
967	0.1567396146
968	0.1566002849
969	0.1564648176
970	0.156416708
971	0.156303625
972	0.1562597106
973	0.1561953362
974	0.1561268879
975	0.1560326906
976	0.1559123826
977	0.1558466844
978	0.1557712149
979	0.1557135723
980	0.1556548509
981	0.1555969001
982	0.1555474054
983	0.1553839702
984	0.155297914
985	0.1552086069
986	0.155171701
987	0.1550884392
988	0.1550272192
989	0.1549511899
990	0.1549019896
991	0.1548451462
992	0.15476171
993	0.1546692696
994	0.1546019507
995	0.1545251074
996	0.1544115831
997	0.1543526326
998	0.1542486684
999	0.1541446604
